// This file was decompiled using SASCM.ini published on 2021-01-30
DEFINE OBJECTS 127
DEFINE OBJECT SANNY BUILDER 3.7.0     
DEFINE OBJECT MICRO_UZI                // Object number -1
add_text_label "INDA@4" "A18-54: OFFICER DOWN! WE NEED BACKUP IN SOUTHEAST, THE MILWEROST STREET." 
add_text_label "INDA@5" "A18-16: WE NEED BACKUP! THERE ARE SO MANY CRASY PEOPLE ARE ATTACKING!" 
add_text_label "INDA@6" "PULASKI: OHLY SHIT, WHAT HAPPENED? RIOT? IT LOOK DOESN'T LIKE IT..." 
add_text_label "INDA@7" "FRANK TENPENNY: MOTHER FUCK, RETURN TO POLICE STATION NOW. I THINK WE MEET SOME PROBLEM." 
add_text_label "INDA@8" "PULASKI: WHAT HAPPENED? ALL COPS ARE ARMED." 
add_text_label "INDA@9" "CJ: THAT'S CRAZY." 
add_text_label "INDA@10" "PULASKI: LET ME GO THERE HAVE A LOOK AND ASK FOR WHAT HAPPENING." 
add_text_label "INDA@11" "FRANK TENPENNY: HEY CJ, DO YOU AFRAID?" 
add_text_label "INDA@12" "CJ: NO OFFICER TENPENNY, I JUST A LITTLE CURIOUS." 
add_text_label "INDA@13" "FRANK TENPENNY: YOU HAVE TO KNOW THAT CURIOSITY KILLED THE CAT." 
add_text_label "INDA@14" "FRANK TENPENNY: GET OUT OF THE CAR ASSHOLE, I DON'T WANT TO SEE YOU." 
add_text_label "INDA@15" "CIVILIAN: OFFICER! MY FRIEND IS STRANGE, HIS MOOD SUDDENLY TURNED OUT TO BE VERY UNUSUAL! HE WANTS TO ATTACK PEOPLE!" 
add_text_label "INDA@16" "OFFICER: DON'T WORRY ABOUT THAT, WE'RE LOOK FOR THE REASON. PLEASE WAIT!" 
add_text_label "INDA@17" "CJ: WHAT...THE FUCK?" 

:INTRO_1609
fade 0 0 
Model.Load(#COPCARLA)
023C: load_special_actor 'TENPEN' as 1 // models 290-299 
023C: load_special_actor 'PULASKI' as 2 // models 290-299 
023C: load_special_actor 'HERN' as 3 // models 290-299 
add_text_label "INDA@17" "CJ: WHAT...THE FUCK?" 

:INTRO_1691
if or
   not Model.Available(#COPCARLA)
823D:   not special_actor 1 loaded 
823D:   not special_actor 2 loaded 
823D:   not special_actor 3 loaded 
jf @INTRO_1729 
wait 0 
jump @INTRO_1691 

:INTRO_1729
select_interior 0 
06D7: enable_train_traffic 0 
Car.Create(35@, -23, 2110.546, -1478.186, 23.4427)
Car.Angle(35@) = 181.9544
067F: set_car 35@ lights 2 
0430: put_actor $PLAYER_ACTOR into_car 35@ passenger_seat 2 
Actor.CreateAsDriver(41@, PedType.Mission1, -104, 35@)
Actor.CreateAsPassenger(40@, PedType.Mission1, -49, 35@, 0)
Actor.CreateAsPassenger(42@, PedType.Mission1, -105, 35@, 1)
Camera.SetPosition(2119.79, -1554.171, 24.7355, 0.0, 0.0, 0.0)
Camera.PointAt(2110.546, -1478.186, 23.4427, 2)
0925: restore_camera_to_user_defined 
092F: lock_camera_target_point 1 
0930: lock_camera_position 1 
0936: set_camera 2119.79 -1554.171 25.7355 position_to 2119.796 -1618.127 25.8779 time 18000 smooth_transition 1 
0920: point_camera 2110.546 -1478.186 23.4427 transverse_to 2110.891 -1612.011 23.8851 time 18000 smooth_transition 1 
00C0: set_current_time_hours_to 6 minutes_to 30 
02A3: enable_widescreen 1 
Car.SetSpeedInstantly(35@, 10.0)
05D1: AS_actor 41@ drive_car 35@ to 2093.996 -1740.925 13.0149 speed 12.0 1 model -14 2 
06C8: enable_riot 1 
Car.SetImmunities(35@, True, True, True, True, True)
01EB: set_traffic_density_multiplier_to 1.0 
03DE: set_pedestrians_density_multiplier_to 1.0 
$9380 = 1 
$9381 = 0 
$9387 = 0 
fade 1 1000 
0707: start_scene_skip_to @INTRO_2439 
wait 2300 
00BC: show_text_highpriority GXT 'INDA@1' time 3000 flag 1 
wait 3200 
00BC: show_text_highpriority GXT 'INDA@2' time 3000 flag 1 
wait 3200 
00BC: show_text_highpriority GXT 'INDA@3' time 3000 flag 1 
wait 3200 
01EB: set_traffic_density_multiplier_to 0.0 
03DE: set_pedestrians_density_multiplier_to 0.0 
Actor.StorePos($PLAYER_ACTOR, $TEMPVAR_FLOAT_1, $TEMPVAR_FLOAT_2, $TEMPVAR_FLOAT_3)
00BC: show_text_highpriority GXT 'INDA@4' time 3000 flag 1 
wait 3000 
05D1: AS_actor 41@ drive_car 35@ to 2011.977 -1750.587 13.3828 speed 22.0 1 model -14 2 
Camera.SetPosition(2118.851, -1681.999, 13.5439, 0.0, 0.0, 0.0)
Camera.PointAt(2110.983, -1651.018, 16.5626, 2)
0925: restore_camera_to_user_defined 
092F: lock_camera_target_point 1 
0930: lock_camera_position 1 
0936: set_camera 2118.851 -1681.999 13.5439 position_to 2099.418 -1760.545 13.5625 time 10000 smooth_transition 1 
0920: point_camera 2110.983 -1651.018 16.5626 transverse_to 2042.97 -1751.196 13.3828 time 10000 smooth_transition 1 
0397: enable_car 35@ siren 1 
00BC: show_text_highpriority GXT 'INDA@5' time 3000 flag 1 
wait 3200 
00BC: show_text_highpriority GXT 'INDA@6' time 3700 flag 1 
wait 4000 
00BC: show_text_highpriority GXT 'INDA@7' time 3700 flag 1 
wait 4000 

:INTRO_2439
0701: end_scene_skip 
0000: NOP 
fade 0 1000 
wait 1000 
Model.Load(#LAPD1)
Model.Load(#COLT45)
Model.Load(#SWAT)
Model.Load(#M4)
Model.Load(#CHROMEGUN)
Model.Load(#ENFORCER)
Model.Load(#POLMAV)

:INTRO_2483
if or
   not Model.Available(#LAPD1)
   not Model.Available(#COLT45)
   not Model.Available(#SWAT)
   not Model.Available(#M4)
   not Model.Available(#CHROMEGUN)
   not Model.Available(#ENFORCER)
   not Model.Available(#POLMAV)
jf @INTRO_2533 
wait 0 
jump @INTRO_2483 

:INTRO_2533
0000: NOP 
$9380 = 1 
$9381 = 0 
$9387 = 0 
01EB: set_traffic_density_multiplier_to 2.0 
03DE: set_pedestrians_density_multiplier_to 0.5 
0395: clear_area 0 at 0.0 0.0 0.0 radius 30000.0 
0395: clear_area 1 at 0.0 0.0 0.0 radius 30000.0 
Car.PutAt(35@, 1644.852, -1729.93, 13.3828)
Car.Angle(35@) = 93.1419
Car.SetSpeedInstantly(35@, 12.0)
05D1: AS_actor 41@ drive_car 35@ to 1536.312 -1688.153 13.5469 speed 20.0 1 model -14 2 
0397: enable_car 35@ siren 1 
Car.Create(100@, -23, 1541.156, -1728.577, 13.3828)
Car.Angle(100@) = 171.6471
0397: enable_car 100@ siren 1 
Car.SetImmunities(100@, True, True, True, True, True)
Car.Create(101@, -23, 1538.549, -1678.086, 13.1092)
Car.Angle(101@) = 298.1874
0397: enable_car 101@ siren 1 
Car.Create(102@, -23, 1540.155, -1668.672, 13.1702)
Car.Angle(102@) = 298.1874
0397: enable_car 102@ siren 1 
Car.Create(103@, -23, 1537.226, -1659.79, 13.1524)
Car.Angle(103@) = 298.1874
0397: enable_car 103@ siren 1 
Car.Create(104@, -23, 1524.969, -1718.058, 13.0762)
Car.Angle(104@) = 259.6391
0397: enable_car 104@ siren 1 
Car.Create(105@, -23, 1523.102, -1731.395, 13.0031)
Car.Angle(105@) = 211.2089
0397: enable_car 105@ siren 1 
Car.Create(106@, -23, 1522.674, -1680.872, 13.5469)
Car.Angle(106@) = 41.0077
0397: enable_car 106@ siren 1 
Car.Create(107@, -30, 1527.929, -1653.277, 13.3828)
Car.Angle(107@) = 288.1541
0397: enable_car 107@ siren 1 
Car.Create(108@, -30, 1539.789, -1697.059, 13.5469)
Car.Angle(108@) = 116.9915
0397: enable_car 108@ siren 1 
Car.Create(109@, -23, 1522.635, -1712.317, 13.5469)
Car.Angle(109@) = 268.1005
0397: enable_car 109@ siren 1 
Car.Create(110@, -15, 1566.942, -1696.766, 28.3956)
Car.Angle(110@) = 87.9138
0000: NOP 
Actor.Create(121@, PedType.Mission3, -24, 1536.283, -1730.754, 13.3828)
Actor.Angle(121@) = 267.9041
Actor.GiveWeaponAndAmmo(121@, WeaponType.Shotgun, 10000)
start_new_script @NONAME_2 121@ 2 1 -20 -1 0 
Actor.Create(122@, PedType.Mission3, -24, 1535.997, -1727.273, 13.3828)
Actor.Angle(122@) = 267.9041
Actor.GiveWeaponAndAmmo(122@, WeaponType.Pistol, 10000)
081A: set_actor 122@ weapon_skill_to 3 
start_new_script @NONAME_2 122@ 2 1 -20 -1 0 
wait 0 
Actor.Create(123@, PedType.Mission3, -24, 1521.779, -1689.143, 13.5469)
Actor.Angle(123@) = 267.9041
Actor.GiveWeaponAndAmmo(123@, WeaponType.Shotgun, 10000)
start_new_script @NONAME_2 123@ 2 1 -20 -1 0 
Actor.Create(124@, PedType.Mission3, -24, 1538.53, -1665.64, 13.5469)
Actor.Angle(124@) = 267.9041
Actor.GiveWeaponAndAmmo(124@, WeaponType.Shotgun, 10000)
start_new_script @NONAME_2 124@ 2 1 -20 -1 0 
Actor.Create(125@, PedType.Mission3, -24, 1521.199, -1718.625, 13.5469)
Actor.Angle(125@) = 267.9041
Actor.GiveWeaponAndAmmo(125@, WeaponType.Shotgun, 10000)
start_new_script @NONAME_2 125@ 2 1 -20 -1 0 
Actor.Create(126@, PedType.Mission3, -16, 1536.784, -1707.259, 13.5469)
Actor.Angle(126@) = 175.8152
Actor.GiveWeaponAndAmmo(126@, WeaponType.M4, 10000)
start_new_script @NONAME_2 126@ 2 1 -20 -1 0 
fade 1 1000 
Actor.Create(127@, PedType.Mission3, -16, 1534.018, -1692.052, 13.3828)
Actor.Angle(127@) = 173.1805
Actor.GiveWeaponAndAmmo(127@, WeaponType.M4, 10000)
start_new_script @NONAME_2 127@ 2 1 -20 -1 0 
Actor.Create(128@, PedType.Mission3, -16, 1538.851, -1690.798, 13.5469)
Actor.Angle(128@) = 124.7179
Actor.GiveWeaponAndAmmo(128@, WeaponType.M4, 10000)
start_new_script @NONAME_2 128@ 2 1 -20 -1 0 
Actor.Create(141@, PedType.Mission3, -16, 1520.024, -1706.208, 13.5469)
Actor.Angle(141@) = 236.3491
Actor.GiveWeaponAndAmmo(141@, WeaponType.M4, 10000)
start_new_script @NONAME_2 141@ 2 1 -20 -1 0 
Actor.CreateAsDriver(143@, PedType.Mission3, -16, 110@)
Actor.GiveWeaponAndAmmo(143@, WeaponType.Pistol, 10000)
start_new_script @NONAME_2 143@ 2 4 -20 -1 0 
0000: NOP 
0707: start_scene_skip_to @INTRO_4375 
Camera.SetPosition(1586.037, -1738.555, 13.5469, 0.0, 0.0, 0.0)
Camera.PointAt(2110.983, -1651.018, 16.5626, 2)
0925: restore_camera_to_user_defined 
092F: lock_camera_target_point 1 
0930: lock_camera_position 1 
0936: set_camera 1586.037 -1738.555 14.5469 position_to 1508.129 -1739.399 20.5469 time 9000 smooth_transition 1 
0920: point_camera 1644.852 -1729.93 14.3828 transverse_to 1536.312 -1688.153 14.5469 time 9000 smooth_transition 1 
$9387 = 0 
wait 5000 
00BC: show_text_highpriority GXT 'INDA@8' time 3000 flag 1 
wait 3500 
00BC: show_text_highpriority GXT 'INDA@9' time 3000 flag 1 
wait 2500 
fade 0 1000 
wait 1000 
Car.SetSpeedInstantly(35@, 0.0)
Car.PutAt(35@, 1538.308, -1687.477, 13.5469)
Car.Angle(35@) = 303.8135
$9387 = 1 
0925: restore_camera_to_user_defined 
092F: lock_camera_target_point 0 
0930: lock_camera_position 0 
Camera.SetPosition(1541.572, -1680.21, 13.5528, 0.0, 0.0, 0.0)
Camera.OnVehicle(35@, 15, 2)
06C8: enable_riot 0 
0687: clear_actor 41@ task 
fade 1 1000 
wait 2200 
00BC: show_text_highpriority GXT 'INDA@10' time 3000 flag 1 
wait 1400 
0633: AS_actor 41@ exit_car 
wait 1600 
05D3: AS_actor 41@ goto_point 681.8004 -474.1063 15.5363 mode 6 time 6000 ms // versionA 
wait 300 
00BC: show_text_highpriority GXT 'INDA@11' time 3000 flag 1 
wait 2600 
00BC: show_text_highpriority GXT 'INDA@12' time 3000 flag 1 
wait 3000 
00BC: show_text_highpriority GXT 'INDA@13' time 3000 flag 1 
wait 3000 
00BC: show_text_highpriority GXT 'INDA@14' time 3000 flag 1 
0633: AS_actor $PLAYER_ACTOR exit_car 
0633: AS_actor 40@ exit_car 
0633: AS_actor 42@ exit_car 
05DE: AS_actor $PLAYER_ACTOR walk_around_ped_path 
05DE: AS_actor 40@ walk_around_ped_path 
05DE: AS_actor 42@ walk_around_ped_path 
wait 3000 
fade 0 1000 
wait 1000 
Actor.DestroyInstantly(40@)
Actor.DestroyInstantly(41@)
Actor.DestroyInstantly(42@)
jump @INTRO_4516 
0925: restore_camera_to_user_defined 
Camera.SetPosition(748.8093, -3022.91, 110.9006, 0.0, 0.0, 0.0)
Camera.PointAt(725.1964, -3514.138, 110.9006, 2)

:INTRO_4375
06C8: enable_riot 0 
0701: end_scene_skip 
Car.SetSpeedInstantly(35@, 0.0)
Car.PutAt(35@, 1538.308, -1687.477, 13.5469)
Car.Angle(35@) = 303.8135
0792: disembark_instantly_actor $PLAYER_ACTOR 
0792: disembark_instantly_actor 40@ 
0792: disembark_instantly_actor 41@ 
0792: disembark_instantly_actor 42@ 
0395: clear_area 0 at 0.0 0.0 0.0 radius 30000.0 
0395: clear_area 1 at 0.0 0.0 0.0 radius 30000.0 
Actor.DestroyInstantly(40@)
Actor.DestroyInstantly(41@)
Actor.DestroyInstantly(42@)
fade 0 1000 
wait 1000 

:INTRO_4516
0701: end_scene_skip 
Model.Load(#SWATVAN)
Model.Load(#HUNTER)
Model.Load(470)
023C: load_special_actor 'HECU' as 4 // models 290-299 

:INTRO_4544
if or
   not Model.Available(#SWATVAN)
   not Model.Available(#HUNTER)
   not Model.Available(470)
823D:   not special_actor 4 loaded 
jf @INTRO_4583 
wait 0 
jump @INTRO_4544 

:INTRO_4583
01EB: set_traffic_density_multiplier_to 0.0 
03DE: set_pedestrians_density_multiplier_to 0.0 
0792: disembark_instantly_actor $PLAYER_ACTOR 
03BA: clear_cars_from_cube_cornerA 1533.303 -1680.802 -13.3828 cornerB 1432.28 -1733.735 23.3828 
Car.Destroy(105@)
Car.Destroy(107@)
Car.Create(160@, 470, 1465.71, -1733.879, 13.361)
Car.Angle(160@) = 269.6797
Actor.CreateAsDriver(190@, PedType.Mission3, -106, 160@)
Actor.GiveWeaponAndAmmo(190@, WeaponType.M4, 10000)
060B: set_actor 190@ decision_maker_to 32 
Actor.CreateAsPassenger(191@, PedType.Mission3, -106, 160@, 0)
Actor.GiveWeaponAndAmmo(191@, WeaponType.M4, 10000)
060B: set_actor 191@ decision_maker_to 32 
Actor.CreateAsPassenger(192@, PedType.Mission3, -106, 160@, 1)
Actor.GiveWeaponAndAmmo(192@, WeaponType.M4, 10000)
060B: set_actor 192@ decision_maker_to 32 
Actor.CreateAsPassenger(193@, PedType.Mission3, -106, 160@, 2)
Actor.GiveWeaponAndAmmo(193@, WeaponType.M4, 10000)
060B: set_actor 193@ decision_maker_to 32 
Car.Create(161@, 470, 1484.701, -1733.984, 13.3572)
Car.Angle(161@) = 269.6797
Actor.CreateAsDriver(194@, PedType.Mission3, -106, 161@)
Actor.GiveWeaponAndAmmo(194@, WeaponType.M4, 10000)
060B: set_actor 194@ decision_maker_to 32 
Actor.CreateAsPassenger(195@, PedType.Mission3, -106, 161@, 0)
Actor.GiveWeaponAndAmmo(195@, WeaponType.M4, 10000)
060B: set_actor 195@ decision_maker_to 32 
$9387 = 1 
Actor.SetImmunities(190@, True, True, True, True, True)
Actor.SetImmunities(191@, True, True, True, True, True)
Actor.SetImmunities(192@, True, True, True, True, True)
Actor.SetImmunities(193@, True, True, True, True, True)
Actor.SetImmunities(194@, True, True, True, True, True)
Actor.SetImmunities(195@, True, True, True, True, True)
Car.SetImmunities(160@, True, True, True, True, True)
Car.SetImmunities(161@, True, True, True, True, True)
05D1: AS_actor 190@ drive_car 160@ to 1531.424 -1710.702 13.3619 speed 20.0 1 model -14 2 
05D1: AS_actor 194@ drive_car 161@ to 1534.312 -1710.702 13.5469 speed 20.0 1 model -14 2 
0925: restore_camera_to_user_defined 
092F: lock_camera_target_point 0 
0930: lock_camera_position 0 
Camera.SetPosition(1521.299, -1694.915, 13.5469, 0.0, 0.0, 0.0)
Camera.OnVehicle(160@, 15, 2)
Actor.PutAt($PLAYER_ACTOR, 1538.399, -1701.109, 12.5469)
Actor.Angle($PLAYER_ACTOR) = 121.5532
wait 250 
Actor.LockInCurrentPosition($PLAYER_ACTOR, True)
Car.Destroy(35@)
fade 1 1000 
0395: clear_area 0 at 0.0 0.0 0.0 radius 30000.0 
0395: clear_area 1 at 0.0 0.0 0.0 radius 30000.0 
wait 6000 
0395: clear_area 0 at 0.0 0.0 0.0 radius 30000.0 
0395: clear_area 1 at 0.0 0.0 0.0 radius 30000.0 
0707: start_scene_skip_to @INTRO_6317 
0925: restore_camera_to_user_defined 
Camera.SetPosition(1539.617, -1699.998, 13.9816, 0.0, 0.0, 0.0)
Camera.PointAt(1528.375, -1706.679, 15.3828, 2)
Car.PutAt(160@, 1531.805, -1704.25, 12.3828)
Car.Angle(160@) = 0.0
Car.PutAt(161@, 1531.656, -1695.192, 12.3828)
Car.Angle(161@) = 0.0
0687: clear_actor 190@ task 
0687: clear_actor 194@ task 
Car.SetSpeedInstantly(160@, 10.0)
06C7: AS_actor 190@ driver_of_car 160@ perform_action 6 timelimit 2000000 
wait 2500 
0925: restore_camera_to_user_defined 
Camera.SetPosition(1535.239, -1701.51, 13.5469, 0.0, 0.0, 0.0)
Camera.OnPed($PLAYER_ACTOR, 15, 2)
0395: clear_area 0 at 0.0 0.0 0.0 radius 30000.0 
0395: clear_area 1 at 0.0 0.0 0.0 radius 30000.0 
wait 2000 
Car.PutAt(160@, 1531.805, -1704.25, 12.3828)
Car.Angle(160@) = 0.0
Car.PutAt(161@, 1531.656, -1695.192, 12.3828)
Car.Angle(161@) = 0.0
0395: clear_area 0 at 0.0 0.0 0.0 radius 30000.0 
0395: clear_area 1 at 0.0 0.0 0.0 radius 30000.0 
0633: AS_actor 190@ exit_car 
0633: AS_actor 191@ exit_car 
0633: AS_actor 192@ exit_car 
0633: AS_actor 193@ exit_car 
0633: AS_actor 194@ exit_car 
0633: AS_actor 195@ exit_car 
Car.LockInCurrentPosition(160@, True)
0925: restore_camera_to_user_defined 
Camera.SetPosition(1539.617, -1699.998, 13.9816, 0.0, 0.0, 0.0)
Camera.PointAt(1528.375, -1706.679, 15.3828, 2)
wait 1000 
0395: clear_area 1 at 1539.617 -1699.998 13.9816 radius 30000.0 
07A3: AS_actor 190@ run_to_and_follow_actor $PLAYER_ACTOR wait_radius_between 3.0 and 5.0 
07A3: AS_actor 191@ run_to_and_follow_actor $PLAYER_ACTOR wait_radius_between 3.0 and 5.0 
07A3: AS_actor 192@ run_to_and_follow_actor $PLAYER_ACTOR wait_radius_between 3.0 and 5.0 
07A3: AS_actor 193@ run_to_and_follow_actor $PLAYER_ACTOR wait_radius_between 3.0 and 5.0 
07A3: AS_actor 194@ run_to_and_follow_actor $PLAYER_ACTOR wait_radius_between 3.0 and 5.0 
07A3: AS_actor 195@ run_to_and_follow_actor $PLAYER_ACTOR wait_radius_between 3.0 and 5.0 
05BF: AS_actor $PLAYER_ACTOR look_at_actor 190@ 30000 ms 
0395: clear_area 0 at 0.0 0.0 0.0 radius 30000.0 
0395: clear_area 1 at 0.0 0.0 0.0 radius 30000.0 
wait 2500 
05BF: AS_actor $PLAYER_ACTOR look_at_actor 195@ 30000 ms 
00BC: show_text_highpriority GXT 'INDA@17' time 3000 flag 1 
0925: restore_camera_to_user_defined 
Camera.SetPosition(1539.617, -1699.998, 13.9816, 0.0, 0.0, 0.0)
Camera.PointAt(1535.456, -1699.159, 13.5469, 1)
wait 2000 
0395: clear_area 0 at 0.0 0.0 0.0 radius 30000.0 
0395: clear_area 1 at 0.0 0.0 0.0 radius 30000.0 
Actor.Create(196@, PedType.Mission3, -106, 1529.907, -1695.927, 13.3828)
Actor.SetImmunities(196@, True, True, True, True, True)
060B: set_actor 196@ decision_maker_to 32 
05D3: AS_actor 196@ goto_point 1529.857 -1698.822 13.3828 mode 4 time 3000 ms // versionA 
wait 2000 
05D3: AS_actor 196@ goto_point 1533.405 -1699.971 13.3828 mode 4 time 3000 ms // versionA 
wait 1500 
Camera.OnPed(196@, 15, 1)
05BF: AS_actor $PLAYER_ACTOR look_at_actor 196@ 30000 ms 
05BF: AS_actor 196@ look_at_actor $PLAYER_ACTOR 30000 ms 
05D3: AS_actor 196@ goto_point 1535.562 -1700.909 13.5469 mode 4 time 3000 ms // versionA 
wait 2000 
0395: clear_area 0 at 0.0 0.0 0.0 radius 30000.0 
0395: clear_area 1 at 0.0 0.0 0.0 radius 30000.0 
wait 200000 
Actor.LockInCurrentPosition($PLAYER_ACTOR, False)
jump @INTRO_6476 

:INTRO_6317
0701: end_scene_skip 
Actor.PutAt($PLAYER_ACTOR, 1538.399, -1701.109, 12.5469)
Actor.Angle($PLAYER_ACTOR) = 121.5532
Actor.LockInCurrentPosition($PLAYER_ACTOR, False)
Car.PutAt(160@, 1531.805, -1704.25, 12.3828)
Car.Angle(160@) = 0.0
Car.PutAt(161@, 1531.656, -1695.192, 12.3828)
Car.Angle(161@) = 0.0
0687: clear_actor 190@ task 
0687: clear_actor 194@ task 
0925: restore_camera_to_user_defined 
0395: clear_area 0 at 0.0 0.0 0.0 radius 30000.0 
0395: clear_area 1 at 0.0 0.0 0.0 radius 30000.0 

:INTRO_6476
0701: end_scene_skip 
Actor.DestroyInstantly(121@)
Actor.DestroyInstantly(122@)
Actor.DestroyInstantly(123@)
Actor.DestroyInstantly(124@)
Actor.DestroyInstantly(125@)
Actor.DestroyInstantly(126@)
Actor.DestroyInstantly(127@)
Actor.DestroyInstantly(128@)
Actor.DestroyInstantly(141@)
Actor.DestroyInstantly(40@)
Actor.DestroyInstantly(41@)
Actor.DestroyInstantly(42@)
Camera.SetBehindPlayer
Camera.Restore_WithJumpCut
Actor.LockInCurrentPosition($PLAYER_ACTOR, False)
$ONMISSION = 0 
02A3: enable_widescreen 0 
$9376 = 0 
$9377 = 0 
$9378 = 0 
$9379 = 0 
$9380 = 0 
$9381 = 1 
$9382 = 0 
$9384 = 0 
$9387 = 0 
$9388 = 1 
$9389 = 0 
$9390 = 0 
Player.CanMove($PLAYER_CHAR, True)
0792: disembark_instantly_actor $PLAYER_ACTOR 
mission_cleanup 
01EB: set_traffic_density_multiplier_to 0.0 
03DE: set_pedestrians_density_multiplier_to 0.0 
0395: clear_area 0 at 0.0 0.0 0.0 radius 30000.0 
0395: clear_area 1 at 0.0 0.0 0.0 radius 30000.0 
return 
terminate_this_script 
0000: NOP 
$9380 = 1 
$9382 = 0 
$9384 = 1 
$9381 = 0 
$9383 = 27 
$9391 = 1 
$ONMISSION = 1 
$9379 = 1 
$9388 = 1 
$9387 = 0 
$9389 = 0 
$9376 = 0 
$9377 = 0 
$9378 = 0 
  $9385 == 1 
0085: $9382 = $ACTOR_SWEET // (int) 
$9414 = 1 
$9415 = 0 
$9416 = 0 
$9392 = 100 
start_new_script @NONAME_2 -1 0 4 -20 -1 0 
start_new_script @AISET_Z -1 1 

//-------------Mission 2---------------
// Originally: Intro

:COPCAR
script_name 'COPCAR' 
0000: NOP 
gosub @COPCAR_49 
if 
wasted_or_busted 
jf @COPCAR_47 
$9392 = 0 
gosub @COPCAR_2753 

:COPCAR_47
terminate_this_script 

:COPCAR_49
wait 0 
054C: use_GXT_table 'COPCAR' 
increment_mission_attempts 
$9469 = 0 
Actor.StorePos($PLAYER_ACTOR, 100@, 101@, 102@)
Player.CanMove($PLAYER_CHAR, True)
0085: 110@ = $9379 // (int) 
0085: 111@ = $9381 // (int) 
0085: 112@ = $9380 // (int) 
0085: 113@ = $9384 // (int) 
0085: 114@ = $9383 // (int) 
0085: 115@ = $9391 // (int) 
0085: 120@ = $9469 // (int) 
121@ = 0 
122@ = 0 
123@ = 20 
124@ = 2 
$9380 = 0 
$9382 = 0 
$9384 = 0 
$9381 = 1 
$9383 = 30 
$9391 = 1 
$ONMISSION = 1 
126@ = 20 
$9416 = 360001 
$9415 = 1 
0085: 127@ = $9385 // (int) 
0085: 606@ = $9414 // (int) 
wait 500 

:COPCAR_272
wait 0 
gosub @COPCAR_3690 
if 
  $9386 == 1 
jf @COPCAR_344 
print_help_formatted "M2 RANDOM _______________ID_%D" 112@ 
wait 700 

:COPCAR_344
0781: get_weapon_with_ID 183@ model_to 184@ 
0781: get_weapon_with_ID 185@ model_to 186@ 
if and
07DE:   model 180@ exists // versionB 
07DE:   model 181@ exists // versionB 
07DE:   model 182@ exists // versionB 
07DE:   model 184@ exists // versionB 
07DE:   model 186@ exists // versionB 
jf @COPCAR_272 
Model.Load(180@)
Model.Load(181@)
Model.Load(182@)
Model.Load(184@)
Model.Load(186@)

:COPCAR_421
wait 0 
if and
   Model.Available(180@)
   Model.Available(181@)
   Model.Available(182@)
   Model.Available(184@)
   Model.Available(186@)
jf @COPCAR_468 
jump @COPCAR_475 

:COPCAR_468
jump @COPCAR_421 

:COPCAR_475
wait 0 
Actor.StorePos($PLAYER_ACTOR, $TEMPVAR_X_COORD, $TEMPVAR_Y_COORD, $TEMPVAR_Z_COORD)
0086: $TEMPVAR_FLOAT_1 = $TEMPVAR_X_COORD // (float) 
$TEMPVAR_FLOAT_1 -= 800.0 
0089: 272@ = $TEMPVAR_X_COORD // (float) 
272@ += 800.0 
0208: 104@ = random_float_in_ranges $TEMPVAR_FLOAT_1 272@ 
0086: $TEMPVAR_FLOAT_2 = $TEMPVAR_Y_COORD // (float) 
$TEMPVAR_FLOAT_2 -= 800.0 
0089: 273@ = $TEMPVAR_Y_COORD // (float) 
273@ += 800.0 
0208: 105@ = random_float_in_ranges $TEMPVAR_FLOAT_2 273@ 
106@ = 10.0 
03D3: get_route_nearest_for 104@ 105@ 106@ store_to 110@ 111@ 112@ Z_angle_to 113@ 
106@ += 0.5 
050A: 114@ = distance_between_XYZ $TEMPVAR_X_COORD $TEMPVAR_Y_COORD $TEMPVAR_Z_COORD and_XYZ 110@ 111@ 112@ 
02C0: store_to $TEMPVAR_FLOAT_1 $TEMPVAR_FLOAT_2 $TEMPVAR_FLOAT_3 ped_path_coords_closest_to 110@ 111@ 112@ 
050A: 90@ = distance_between_XYZ 110@ 111@ 112@ and_XYZ $TEMPVAR_FLOAT_1 $TEMPVAR_FLOAT_2 $TEMPVAR_FLOAT_3 
if and
   not 90@ >= 50.0 
  114@ > 270.0 
jf @COPCAR_1157 
if 
   not 114@ >= 2000.0 
jf @COPCAR_1157 
050F: get_max_wanted_level_to 201@ 
0843: get_zone_at 110@ 111@ 112@ nameA_to 130@s // 8-byte string 
0384: show_text_1string GXT 'MCOPC07' string 130@s time 7000 1 
Marker.CreateIconWithoutSphere(140@, 0, 110@, 111@, 112@)
Marker.SetIconSize(140@, 3)
Marker.SetColor(140@, 4)
09EE: set_status_text_stay_on_screen 1 
04F7: status_text $9415 type 0 line 1 GXT 'COPLEVL' // global_variable 
04F7: status_text $9469 type 0 line 2 GXT 'KILLS' // global_variable 
03C3: set_timer_to $9416 type 1 GXT 'COPTIME' // global_variable 
0396: pause_timer 0 
wait 0 
Car.Create(141@, 182@, 110@, 111@, 112@)
0208: 106@ = random_float_in_ranges 0.0 359.0 
Car.Angle(141@) = 106@
0657: car 141@ open_door 4 
0657: car 141@ open_door 5 
Car.Health(141@) = 100000
0397: enable_car 141@ siren 1 
Car.DoorStatus(141@, 2)
018C: play_sound 1052 at 0.0 0.0 0.0 
018C: play_sound 1052 at 0.0 0.0 0.0 
018C: play_sound 1052 at 0.0 0.0 0.0 
